Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
BKH,Black Hills Corporation,Utilities,Utilities - Diversified,USA,4280000000.0000005,16.2,64.43,-0.0928,2838399.0,"['Top Losers', 'Unusual Volume', 'Downgrades']",3,-,3.98,0.10%,64.88M,-11.09%,15.67,4.11,0.00%,64.68M,-9.47%,257.10M,3.00,1.16,92.00%,3.62% / 6.98,2.27%,2.32B,1.84,2.60%,1.70%,2.34M,-15.42%,44.49,1.45,2.26%,2.80%,78.14,-4.90%,0.18,365.60,5.40%,9.00%,59.08,80.95,-8.40%,2.50,-,7.70%,5.50%,-20.41%,0.54,3.88%,0.60,4.80%,-,9.06%,2.06,2884,0.90,21.50%,18.90%,27.05,3.28%,2.09%,Yes,1.60,-22.70%,11.10%,8.46,71.02,Yes,1.43,Feb 07 AMC,59.70%,335.53K,2.10,-10.00%,-8.99%,-10.39%,"Black Hills Corporation, through its subsidiaries, operates as an electric and natural gas utility company in the United States. It operates in two segments, Electric Utilities and Gas Utilities. The Electric Utilities segment generates, transmits, and distributes electricity to approximately 218,000 electric utility customers in Colorado, Montana, South Dakota, and Wyoming; and owns and operates 1,481.5 megawatts of generation capacity and 8,892 miles of electric transmission and distribution lines. The Gas Utilities segment distributes natural gas to approximately 1,094,000 natural gas utility customers in Arkansas, Colorado, Iowa, Kansas, Nebraska, and Wyoming; owns and operates 4,732 miles of intrastate gas transmission pipelines; 41,644 miles of gas distribution mains and service lines; six natural gas storage sites; and approximately 50,000 horsepower of compression and 515 miles of gathering lines. The company also constructs and maintains gas infrastructure facilities for gas transportation customers; and provides appliance repair services to residential utility customers, as well as electrical system construction services to large industrial customers. In addition, it produces electric power through wind, natural gas, and coal-fired generating plants; and coal at its coal mine located near Gillette, Wyoming. The company was incorporated in 1941 and is headquartered in Rapid City, South Dakota."
CVKD,"Cadrenal Therapeutics, Inc.",Healthcare,Biotechnology,USA,22800000.0,,1.96,-0.0926,99772.0,"['Top Losers', 'New Low', 'Most Volatile']",3,-,-,64.16%,11.63M,-30.72%,-,-,0.00%,3.60M,-,-,-,-,-,- / -,-,-,-,-,-,-,-,-0.14,-,-,-,-,-,-,-,-,-,2.10,6.75,-52.43%,-,-,-,-,-70.96%,-,-,-,-,-,-6.67%,0.67,1,-,-,-,-,10.43%,-,No,-,-,-,0.10,2.16,Yes,-,-,-,1.01M,-,-31.43%,-31.43%,-31.43%,"Cadrenal Therapeutics, Inc. operates as a clinical development biopharmaceutical company. The company focuses on developing Tecarfarin, a novel therapy with orphan drug indication for the prevention of systemic thromboembolism of cardiac origin in patients with end-stage renal disease and atrial fibrillation. The company was incorporated in 2022 and is headquartered in Ponte Vedra, Florida."
RAMP,"LiveRamp Holdings, Inc.",Technology,Information Technology Services,USA,1660000000.0,,24.71,-0.0925,1223590.0,"['Top Losers', 'Most Volatile']",2,-,-1.51,2.40%,67.10M,-10.24%,24.27,1.02,-0.31%,64.43M,6.46%,-102.40M,-,0.27,94.80%,2.95% / 3.03,55.12%,571.70M,2.90,63.60%,-4.12%,1.90M,11.31%,14.31,1.73,31.35%,-8.00%,28.56,-43.76%,7.23,3.42,21.50%,-10.00%,15.37,45.29,5.42%,-,25.61,14.80%,-6.00%,-45.44%,1.12,-,4.70,24.80%,71.80%,60.77%,1.04,1400,4.70,15.60%,-16.90%,45.55,6.06%,3.55%,Yes,0.00,-379.90%,-17.90%,1.95,27.23,Yes,0.00,Feb 07 AMC,-,627.77K,2.20,-3.64%,3.83%,5.10%,"LiveRamp Holdings, Inc., a technology company, provides enterprise data connectivity platform solutions in the United States, Europe, and the Asia-Pacific. The company offers RampID, a true people-based identifier; Safe Haven, an enterprise data enablement platform; LiveRamp Data Marketplace, a solution that seamlessly connects data owners' audience data across the marketing ecosystem; and AbiliTec, an offline identity resolution platform. It serves financial, insurance and investment services, retail, automotive, telecommunications, high tech, consumer packaged goods, healthcare, travel, entertainment, non-profit, and government industries. The company was formerly known as Acxiom Holdings, Inc. and changed its name to LiveRamp Holdings, Inc. in October 2018. LiveRamp Holdings, Inc. was incorporated in 2018 and is headquartered in San Francisco, California."
SONN,"Sonnet BioTherapeutics Holdings, Inc.",Healthcare,Biotechnology,USA,7880000.0,,0.98,-0.0924,827824.0,"['Top Losers', 'New Low']",2,-,-6.84,2.13%,7.93M,-9.24%,-,-0.95,0.00%,7.23M,-26.85%,-29.70M,-,-1.10,3.50%,4.69% / 0.60,-39.87%,0.30M,26.27,52.00%,2.93%,0.34M,-75.51%,-0.57,-,63.00%,-242.10%,18.90,-77.91%,0.39,2.54,-,-513.60%,0.91,9.37,-14.77%,-,-,53.00%,-,-89.54%,0.62,-,0.70,-61.50%,-,7.48%,0.11,12,0.70,-80.00%,-,37.56,5.66%,8.54%,No,-,31.80%,-,1.46,1.08,Yes,-,-,-,567.16K,2.00,-17.97%,-12.64%,-61.00%,"Sonnet BioTherapeutics Holdings, Inc., a clinical stage oncology-focused biotechnology company, develops platform for biologic medicines of single or bispecific action. The company develops fully human albumin binding technology, which utilizes human single chain antibodies fragment that binds to and hitch-hikes on human serum albumin for transport to target tissues. Its lead product candidate is SON-1010, a fully human version of interleukin 12 for the treatment non-small cell lung cancer, and head and neck cancer and is under phase 1 trial. The company is also developing SON-080, a fully human version of interleukin 6 for chemotherapy-induced peripheral neuropathy and diabetic peripheral neuropathy and is under Phase Ib/IIa study; and SON-1210, a bispecific compound developed for solid tumor indications, including colorectal cancer. It has a license agreement with New Life Therapeutics Pte, LTD. to develop and commercialize pharmaceutical preparations containing a specific recombinant human interleukin-6. The company is headquartered in Princeton, New Jersey."
BTU,Peabody Energy Corporation,Energy,Thermal Coal,USA,3780000000.0,3.29,25.66,-0.09230000000000001,8694313.0,"['Top Losers', 'Most Active']",2,-,7.80,1.02%,144.10M,-7.30%,3.94,6.51,-65.44%,142.42M,-7.20%,1.18B,-,2.16,87.50%,12.46% / 4.52,-14.50%,4.62B,0.82,115.80%,-3.36%,17.75M,24.14%,18.12,1.42,4.71%,22.80%,33.60,102.69%,9.19,2.79,-,55.60%,12.82,33.29,-2.88%,-,4.86,15.80%,15.10%,-22.92%,1.07,-,1.60,-6.80%,33.50%,100.16%,1.45,4900,1.80,97.70%,27.90%,38.69,6.31%,4.76%,Yes,0.33,489.50%,25.50%,2.21,28.27,Yes,0.12,Feb 14 BMO,0.00%,3.93M,2.20,-7.50%,-9.54%,2.96%,"Peabody Energy Corporation engages in coal mining business in the United States, Japan, Taiwan, Australia, India, Indonesia, China, Vietnam, South Korea, and internationally. The company operates through Seaborne Thermal Mining, Seaborne Metallurgical Mining, Powder River Basin Mining, and Other U.S. Thermal Mining segments. It is involved in mining, preparation, and sale of thermal coal primarily to electric utilities; mining bituminous and sub-bituminous coal deposits; and mining metallurgical coal, such as hard coking coal, semi-hard coking coal, semi-soft coking coal, and pulverized coal injection coal. The company supplies coal primarily to electricity generators, industrial facilities, and steel manufacturers. As of December 31, 2021, it owned interests in 17 coal mining operations located in the United States and Australia; and had approximately 2.5 billion tons of proven and probable coal reserves and approximately 450,000 acres of surface property through ownership and lease agreements. The company also engages in direct and brokered trading of coal and freight-related contracts, as well as provides transportation-related services. Peabody Energy Corporation was founded in 1883 and is headquartered in St. Louis, Missouri."
ABSI,Absci Corporation,Healthcare,Biotechnology,USA,285140000.0,,3.05,-0.09230000000000001,840900.0,"['Top Losers', 'Most Volatile', 'Horizontal S/R']",3,-,-1.22,0.70%,91.11M,-5.57%,-,-1.06,0.00%,62.84M,25.51%,-110.60M,-,-0.25,48.10%,6.82% / 9.63,2.35%,5.60M,50.92,-279.60%,3.84%,4.29M,-21.79%,3.22,0.95,9.40%,-29.00%,8.00,-58.67%,1.94,1.57,17.00%,-33.60%,1.94,9.68,45.24%,-,-,-,-17.50%,-68.49%,-,-,6.70,-,-,57.22%,0.31,216,6.70,60.00%,-,52.12,9.45%,11.18%,Yes,0.04,8.20%,-,1.89,3.36,Yes,0.03,-,-,445.41K,2.70,1.04%,14.48%,-10.21%,"Absci Corporation, a drug and target discovery company, provides biologic drug candidates and production cell lines using integrated drug creation platform for partners in the United States. Its integrated drug creation platform enables the creation of biologics by unifying the drug discovery and cell line development processes into one process. Absci Corporation was founded in 2011 and is headquartered in Vancouver, Washington."
FHTX,Foghorn Therapeutics Inc.,Healthcare,Biotechnology,USA,315240000.0,,7.4,-0.092,28742.0,Top Losers,1,-,-2.69,1.50%,41.67M,-16.85%,-,-2.58,0.00%,30.89M,18.02%,-109.10M,-,-0.62,62.90%,6.00% / 21.15,-18.41%,15.80M,19.95,-45.80%,-0.31%,1.85M,-55.12%,0.58,12.76,-2.40%,-23.00%,21.00,-45.06%,8.77,0.84,-,-181.00%,5.32,18.12,15.99%,-,1.35,-,-105.20%,-59.16%,-,-,6.80,-,-,39.10%,0.64,119,6.80,16080.50%,-,43.99,8.46%,9.54%,Yes,0.00,12.30%,-,0.33,8.15,Yes,0.00,-,-,87.65K,2.00,-9.44%,3.57%,-29.01%,"Foghorn Therapeutics Inc., a clinical-stage biopharmaceutical company, discovers and develops medicines targeting genetically determined dependencies within the chromatin regulatory system. The company uses its proprietary Gene Traffic Control platform to identify, validate, and potentially drug targets within the system. It is developing FHD-286, a small molecule inhibitor of the enzymatic activity of BRG1 and BRM for the treatment of metastatic uveal melanoma and relapsed and/or refractory acute myeloid leukemia and myelodysplastic syndrome; and FHD-609, a small molecule protein degrader for BRD9 to treat patients with synovial sarcoma. The company is also developing an enzymatic inhibitor and a protein degrader as selective modulators of BRM; and ARID1B selective modulators for the treatment of ovarian, endometrial, colorectal, bladder, and gastric cancers. It has a research collaboration and license agreement with Merck Sharp & Dohme Corp. to discover and develop novel oncology therapeutics against a transcription factor target; and with Loxo Oncology to create novel oncology medicines. Foghorn Therapeutics Inc. was incorporated in 2015 and is headquartered in Cambridge, Massachusetts."
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA,591200000.0,,1.58,-0.092,4395140.0,Top Losers,1,-,-1.07,0.70%,322.29M,-2.47%,-,-0.65,-60.04%,233.91M,8.22%,-341.10M,-,-0.27,38.90%,20.99% / 7.24,-38.76%,258.80M,2.28,50.80%,-12.90%,49.10M,-31.00%,-1.33,-,56.10%,-40.20%,7.02,-60.00%,0.05,31.96,30.00%,222.60%,1.25,5.30,3.27%,-,-,31.50%,-30.40%,-70.22%,1.07,-,0.50,38.50%,10.70%,26.40%,0.16,980,0.90,48.40%,-,46.36,11.21%,9.59%,Yes,-,-357.40%,-,0.65,1.74,Yes,-,Nov 08 AMC,-,6.78M,2.70,-1.76%,-5.95%,-33.47%,"Amyris, Inc., a synthetic biotechnology company, operates in the clean health and beauty, and flavors and fragrance markets in Europe, North America, Asia, and South America. The company manufactures and sells clean beauty, personal care, and health and wellness consumer products, as well as ingredients to the flavor and fragrance, nutrition, food and beverage, and clean beauty and personal care end markets. It offers its products under the Biossance, Pipette, Purecane, Terasana, Costa Brazil, OLIKA, Rose Inc., and JVN brand names. The company has a collaboration agreement with the Infectious Disease Research Institute for the development of a COVID-19 vaccine. The company was formerly known as Amyris Biotechnologies, Inc. and changed its name to Amyris, Inc. in June 2010. Amyris, Inc. was incorporated in 2003 and is headquartered in Emeryville, California."
WE,WeWork Inc.,Real Estate,Real Estate Services,USA,1320000000.0,,1.7,-0.0909,5733987.0,Top Losers,1,-,-3.07,0.40%,762.38M,-5.56%,-,-1.12,4.66%,647.03M,34.92%,-2295.40M,-,-0.41,87.10%,12.91% / 9.57,-38.18%,3.11B,0.42,-41.90%,-2.40%,83.51M,-63.44%,-3.98,-,55.20%,-11.40%,6.58,-76.62%,0.59,2.87,-,93.50%,1.02,8.08,18.88%,-,-,-,-350.50%,-78.96%,-,-,0.40,-,0.90%,66.65%,0.24,4400,0.40,23.60%,-55.00%,48.63,12.45%,14.08%,Yes,-,33.50%,-73.70%,0.66,1.87,Yes,-,Feb 16 BMO,-,8.72M,2.00,-0.50%,-5.80%,-56.69%,"WeWork Inc. provides flexible workspace solutions to individuals and organizations worldwide. The company offers workstation, private office, and customized floor solutions; and various amenities and services, such as private phone booths, internet, high-speed business printers and copiers, mail and package handling, front desk services, off-peak building access, common areas, and daily enhanced cleaning solutions. It also offers various value-add services; business and technical service solutions, including professional employer organization and payroll services, remote workforce solutions, human resources benefits, dedicated bandwidth, and IT equipment co-location solutions. In addition, the company offers workspace management solutions, which enable landlords and operators to power flexible spaces and provide direct access to an established customer base. As of December 31, 2021, its real estate portfolio includes 756 locations. WeWork Inc. was founded in 2010 and is headquartered in New York, New York."
ANNX,"Annexon, Inc.",Healthcare,Biotechnology,USA,306010000.0,,6.46,-0.0901,75782.0,Top Losers,1,-,-3.36,0.10%,68.65M,-10.28%,-,-2.23,0.00%,46.49M,38.33%,-144.90M,-,-0.53,-,3.12% / 9.46,26.92%,-,-,18.00%,23.20%,1.45M,20.07%,3.80,1.70,16.80%,-54.10%,18.71,-16.54%,5.69,1.14,38.60%,-67.30%,2.06,8.20,24.95%,-,-,-,-,-21.22%,-,-,13.60,-,-,213.59%,0.49,83,13.60,-,-,48.20,6.20%,8.54%,Yes,0.00,45.00%,-,0.49,7.10,Yes,0.00,-,-,153.46K,1.60,-5.13%,9.22%,28.52%,"Annexon, Inc., a clinical-stage biopharmaceutical company, discovers and develops therapeutics for autoimmune, neurodegenerative, and ophthalmic disorders. The company's C1q is an initiating molecule of the classical complement pathway that targets distinct disease processes, such as antibody-mediated autoimmune disease and complement-mediated neurodegeneration. Its product candidates include ANX005, a monoclonal antibody, which is in Phase II/III clinical trials to treat patients with guillain- barre syndrome; Phase II trial in patients with warm autoimmune hemolytic anemia; and Phase II clinical trial for Huntington's disease and amyotrophic lateral sclerosis. The company is also developing ANX009 that is in Phase Ib trial in patients with lupus nephritis; and ANX007, which is in Phase II clinical trials to treat patients with geographic atrophy. In addition, it develops ANX105, an investigational monoclonal antibody targeting neurodegenerative indications; and ANX1502, an investigational oral small molecule for the treatment of certain autoimmune indications. The company was incorporated in 2011 and is headquartered in Brisbane, California."
CVRX,"CVRx, Inc.",Healthcare,Medical Devices,USA,328320000.0,,16.7,-0.08990000000000001,179090.0,"['Top Losers', 'Double Top']",2,-,-2.02,10.34%,20.58M,0.42%,-,-2.32,-0.23%,18.44M,4.38%,-41.40M,-,-0.57,68.80%,2.16% / 3.20,32.96%,22.50M,14.59,-183.30%,-5.57%,0.40M,92.84%,5.75,2.90,1.70%,-27.10%,19.62,100.48%,5.60,2.98,-,-28.60%,4.60,19.94,-8.99%,-,-,-,-17.00%,-16.25%,-,-,16.00,-,77.80%,263.04%,1.38,109,16.80,82.40%,-,52.96,10.08%,8.53%,Yes,0.00,-50.30%,-,1.44,18.35,Yes,0.00,Jan 26 AMC,-,124.46K,1.70,6.24%,8.21%,69.87%,"CVRx, Inc., a commercial-stage medical device company, focuses on developing, manufacturing, and commercializing neuromodulation solutions for patients with cardiovascular diseases. It offers Barostim, a neuromodulation device indicated to improve symptoms for patients with heart failure (HF) with reduced ejection fraction or systolic HF. The company sells its products through direct sales force, as well as sales agents and independent distributors in the United States, Germany, rest of Europe, and internationally. CVRx, Inc. was incorporated in 2000 and is headquartered in Minneapolis, Minnesota."
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,10820000000.0,,9.92,-0.0891,20284891.0,"['Top Losers', 'Most Active', 'Earnings Before', 'Double Top']",4,-,-1.17,1.88%,1.11B,-6.42%,3.95,2.51,-0.27%,1.09B,-8.91%,-1290.00M,-,0.71,49.60%,2.30% / 2.65,11.09%,15.14B,0.71,110.30%,9.53%,25.02M,-9.82%,7.89,1.26,-0.32%,-2.80%,10.00,17.26%,2.04,4.86,2.00%,-13.80%,6.78,11.44,8.77%,-,21.05,39.70%,4.50%,-13.32%,1.21,-,0.70,-6.20%,49.30%,46.33%,0.35,34713,1.00,-7.50%,-7.70%,42.68,2.76%,2.72%,Yes,2.43,-81.00%,-8.50%,2.15,10.89,Yes,2.11,Feb 08 BMO,-,9.45M,3.10,-7.09%,2.22%,11.45%,"Teva Pharmaceutical Industries Limited, a pharmaceutical company, develops, manufactures, markets, and distributes generic medicines, specialty medicines, and biopharmaceutical products in North America, Europe, and internationally. The company offers sterile products, hormones, high-potency drugs, and cytotoxic substances in various dosage forms, including tablets, capsules, injectables, inhalants, liquids, transdermal patches, ointments, and creams. It also develops, manufactures, and sells active pharmaceutical ingredients. In addition, it focuses on the central nervous system, pain, respiratory, and oncology areas. Its products in the central nervous system include Copaxone for the treatment of relapsing forms of multiple sclerosis; AJOVY for the preventive treatment of migraine; and AUSTEDO for the treatment of tardive dyskinesia and chorea associated with Huntington disease. The company's products in the respiratory market comprise ProAir, QVAR, ProAir Digihaler, AirDuo Digihaler, and ArmonAir Digihaler, BRALTUS, CINQAIR/CINQAERO, DuoResp Spiromax, and AirDuo RespiClick/ArmonAir RespiClick for the treatment of asthma and chronic obstructive pulmonary disease. Its products in the oncology market include Bendeka, Treanda, Granix, Trisenox, Lonquex, and Tevagrastim/Ratiograstim. Teva Pharmaceutical Industries Limited has a collaboration MedinCell for the development and commercialization of multiple long-acting injectable products, a risperidone suspension for the treatment of patients with schizophrenia. The company was founded in 1901 and is headquartered in Tel Aviv-Yafo, Israel."
